batch_id,medicine_name,quantity_produced,production_date,expiry_date,unit_cost,units_sold,sale_date,waste_type,units_wasted,reason
1c74730c-ec9b-4d1e-98f5-db6bada528d4,Mrs. Joy Kling-Mertz,4758,2024-04-22T07:32:52.594Z,2025-01-17T18:46:29.825Z,692.8062613593763,7888,2024-04-26T12:06:56.395Z,Rebecca Ullrich DDS,387,Beatrice Runolfsson
513f50ab-3492-412d-a2e4-e14924f3ed5f,Lois Schaefer,696,2024-12-29T00:33:57.469Z,2024-09-27T09:09:38.974Z,326.9333930871752,2787,2024-06-01T00:54:46.853Z,Denise Gerlach,1205,Bobbie Tillman
f400d675-04cd-42b1-af19-8233c108979a,Benny Kertzmann,5493,2025-04-08T13:05:16.522Z,2024-04-21T09:24:01.038Z,391.7387835405697,7293,2024-12-28T17:42:42.158Z,Traci Mosciski,951,Kelley Johnston
9966bd9e-c271-44c3-aa3c-eb49daf0369b,Kelley Hansen,8503,2025-03-11T15:40:07.199Z,2024-10-04T00:59:42.438Z,891.3747252586019,5322,2025-01-26T02:44:08.671Z,Jane Ondricka,2114,Maria Hackett
62830741-d1f4-45f3-943f-f5976fe4e0ce,Ruby Romaguera,2356,2024-08-09T13:47:56.565Z,2024-12-18T16:49:00.341Z,372.6358877850929,8418,2024-10-21T15:58:41.075Z,Dr. Lynn Corwin,2435,Sarah Goodwin
0d347d1e-fea9-4213-8383-8dc0bec7147d,Mr. Ross Cummerata,5274,2024-09-07T03:11:04.249Z,2024-07-20T19:17:39.129Z,285.312084927964,7113,2024-08-24T14:41:18.959Z,Stuart Brown,3692,Jody Aufderhar
4c3a1749-6e48-4fe1-be5c-adbaad45c64b,Tammy Parker,2389,2024-04-19T23:31:54.751Z,2025-01-20T12:36:20.142Z,423.3205119248247,1942,2024-05-19T16:59:22.696Z,Keith Hilll,2971,Alonzo Farrell
24df7c0e-da0f-4374-ab96-24f896d6e747,Leslie O'Reilly,9014,2024-12-25T22:58:24.237Z,2024-08-29T19:39:04.675Z,624.6982059093448,3795,2024-10-17T15:36:20.308Z,Gerald Hilpert,9653,Warren Bode
7388af59-b4a4-42ec-addb-0df1ab9eb3ed,Arlene Littel-Blanda,638,2024-07-16T10:01:07.968Z,2024-09-26T07:38:35.579Z,305.15454911703944,5657,2024-10-29T13:00:27.021Z,Miss Bertha Mante DDS,7755,Teresa Keebler
037b33b5-2826-48e0-aa97-51c4c4ef3ac4,Marlene Jast,2683,2025-03-27T18:54:10.660Z,2024-05-06T17:33:08.445Z,991.208260321552,3320,2024-12-11T21:07:03.415Z,Simon Macejkovic,5594,Byron Hand
